"cole_codigo_icfes","cole_nombre_sede"
"91439","I.E. TECNICO INDUSTRIAL MARISCAL SUCRE - SEDE PRINCIPAL"
"155598","I.E. INTEGRADO - SEDE PRINCPAL"
,"I.E. DE CERINZA - SEDE PRINCIPAL"
"165092","INSTITUCION EDUCATIVA EL ROSARIO"
"6420","INST. GESTION INFORMATICA Y GUIA ACADEMICA - GIGA"
"734236","I.E. TECNICA ZULIA DE MARIPI - SEDE PRINCIPAL"
,"IE NAGUATA - SEDE PRINCIPAL"
,"INST. GESTION INFORMATICA Y GUIA ACADEMICA - GIGA"
"1525","INSTITUCION EDUCATIVA AGROINDUSTRIAL FRANCISCO MEDRANO"
,"I.E.T DE PANQUEBA - SEDE PRINCIPAL"
"173807","COLEGIO CAMPESTRE SAN DIEGO - SEDE PRINCIPAL"
"744110","RUNTA ABAJO"
"45807","I.E. SAN LUIS BELTRAN - SEDE PRINCIPAL"
"112532","COLEGIO DE EDUCACION FORMAL FLEXIBLE SAN MATEO"
"27110","IE TEC AGROPECUARIO - SEDE PRINCIPAL"
"131185","RUNTA ABAJO"
"5439","IE NUEVA GENERACION - SEDE PRINCIPAL"
"175182","I.E. GENERAL SANTANDER"
"161075","IE NSTRA SRA DE LA CANDELARIA - SEDE PRINCIPAL"
"67991","IE SAN PEDRO CLAVER- SEDE PRINCIPAL"
"5157","COL JOSE SANTOS GUTIERREZ"
"60103","I.E. MARÍA AUXILIADORA - SEDE PRINCIPAL"
"607911","COLEGIO COLOMBO BRITANICO"
"51722","I.E.T. AGROINDUSTRIAL CUSAGUI - SEDE PRINCIPAL"
"33126","INST TÉCNICO AGROP DE VIRACACHÁ"
"60095","INST TÉCNICO AGROP"
"57174","INSTITUCIÓN EDUCATIVA NUESTRA SEÑORA DE MORCA"
"102517","COL DE ED BAS Y MED TEC NSTRA SRA DE LA O"
"5405","INDALECIO VASQUEZ"
"162867","I.E. DE DESARROLLO TECNOLÓGICO AGROPECUARIO - SEDE PRINCIPAL"
"154831","COL SAN MIGUEL ARCANGEL"
"5199","I.E.T. SAN DIEGO DE ALCALA - SEDE PRINCIPAL"
"27201","COL NRTA SRA DEL ROSARIO"
"159269","I.E. CASCAJAL - SEDE PRINCIPAL"
,"I.E. PLINIO MENDOZA NEIRA - SEDE PRINCIPAL"
"152033","I.E. CONCHA MEDINA DE SILVA - SEDE PRINCIPAL"
"154278","I.E. SAN ANTONIO - SEDE PRINCIPAL"
"161422","COLEGIO NACIONALIZADO DE BACHILLERATO AGROPECUARIO"
,"ASIS"
"111138","I.E. SUSANA GUILLEMIN - SEDE PRINCIPAL"
,"IE RAMON BARRANTES - SEDE PRINCIPAL"
"5744","I.E. TECNICA INDUSTRIAL ANTONIO RICAURTE - SEDE PRINCIPAL"
"111138","INST SOLUCION EDUCATIVA SOLED"
"148551","IE HATOVIEJO - SEDE PRINCIPAL"
"37671","I.E. TECNICA SAN BARTOLOME - SEDE PRINCIPAL"
"4754","COLEGIO DE BOYACA"
"45849","EDIFICIO CALLE 18"
"168724","I E NSTRA SRA DE LA NAVAL"
"36608","IE SERGIO CAMARGO - SEDE PRINCIPAL"
"708420","INSTITUCION EDUCATIVA MARCO ANTONIO QUIJANO RICO"
"159335","I.E. REGIÓN SUR DE AQUITANIA - SEDE PRINCIPAL"
"5280","I.E.T. LISANDRO CELY - SEDE PRINCIPAL"
"159764","IE SAN ANTONIO - SEDE PRINCIPAL"
"149740","IE PEDREGAL ALTO - SEDE PRINCIPAL"
"164715","COL EDUC BAS SOCHAQUIRA ABAJO"
"747931","I.E. TECNICA ANTONIO NARIÑO - SEDE PRINCIPAL"
"83212","I.E. TÉCNICA LAS MERCEDES - SEDE PRINCIPAL"
"138776","I.E. SAN LUIS BELTRAN - SEDE PRINCIPAL"
,"I.E.T. COMERCIAL - SEDE PRINCIPAL"
"708842","INSTITUTO TECNICO SANTO TOMAS DE AQUINO SEDE BACHILLERATO"
"79491","I.E. INDALECIO VASQUEZ  - SEDE PRINCIPAL"
,"INSTITUCION EDUCATIVA COLEGIO DE SUGAMUXI"
"130773","INSTITUCION EDUCATIVA COLEGIO EMPRESARIAL DE BOYACA - SEDE PRINCIPAL"
,"IE TEC JOSE IGNACIO DE MARQUEZ - SEDE PRINCIPAL"
"134692","COLEGIO DE EDUCACION FORMAL FLEXIBLE SAN MATEO"
,"IE PABLO VI - SEDE PRINCIPAL"
,"GIMNASIO CAMPESTRE DEL NORTE"
"111732","COLEGIO NUEVA INGLATERRA - SEDE PRINCIPAL"
,"COL NAL LA SALLE"
"91454","INSTITUCION EDUCATIVA TECNICO INDUSTRIAL GUSTAVO JIMENEZ"
"30247","I.E. TECNICA INDUSTRIAL - SEDE PRINCIPAL"
"116160","LOS LIBERTADORES"
"29595","I.E. ENRIQUE SUAREZ - SEDE PRINCIPAL"
"28035","I.E. ANTONIO NARIÑO - SEDE PRINCIPAL"
"5363","IE ARMANDO SOLANO"
"113803","I.E. SAN ISIDRO - SEDE PRINCIPAL"
"84038","COL FRANCISCO JOSE DE CALDAS"
"142141","INSTITUCION EDUCATIVA MARCO ANTONIO QUIJANO RICO"
"5645","IE TEC JOSE BENIGNO PERILLA - SEDE PRINCIPAL"
"5710","INST INTEG NZADO DIEGO DE TORRES"
"190975","COL EDUC BAS Y MEDIA NUEVA ESPERANZA"
"135160","INSTITUTO DE EDUCACION FORMAL COMFABOY - SEDE PRINCIPAL"
"102525","IE CASILDA ZAFRA"
,"IE DE EDUC BAS Y MEDIA TEC JOSE ANTONIO PAEZ - SEDE PRINCIPAL"
"27722","I.E. SAZA - SEDE PRINCIPAL"
"0","IE DE EDUC BAS Y MEDIA TEC JOSE ANTONIO PAEZ - SEDE PRINCIPAL"
,"CENTRO DE INVESTIGACIONES PEDAGÓGICAS  RAYUELA"
